	benchmark	hardware_vendor	system	#_cores	#_chips	#_cores_per_chip	processor_mhz	base_copies	result	baseline	published	days
157	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8176	56	2	28	2100	112	2560	2450	Oct-2017	6453
158	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8180	56	2	28	2500	112	2780	2670	Jul-2017	6361
159	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8168	48	2	24	2700	96	2560	2440	Oct-2017	6453
160	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8158	24	2	12	3000	48	1550	1460	Oct-2017	6453
161	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8156	8	2	4	3600	16	579	546	Oct-2017	6453
162	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8153	32	2	16	2000	64	1430	1360	Oct-2017	6453
163	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8164	52	2	26	2000	104	2330	2230	Oct-2017	6453
164	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8160	48	2	24	2100	96	2270	2170	Oct-2017	6453
165	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8160T	48	2	24	2100	96	2240	2140	Oct-2017	6453
166	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8170	52	2	26	2100	104	2420	2310	Oct-2017	6453
167	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8176	56	2	28	2100	112	2560	2460	Oct-2017	6453
168	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8180	56	2	28	2500	112	2810	2700	Jul-2017	6361
169	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8180	28	1	28	2500	56	1350	1300	Jul-2017	6361
170	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8168	48	2	24	2700	96	2580	2470	Oct-2017	6453
171	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8158	24	2	12	3000	48	1550	1470	Oct-2017	6453
172	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8156	8	2	4	3600	16	580	547	Oct-2017	6453
173	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8164	104	4	26	2000	208	4590	4360	Oct-2017	6453
174	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8160	96	4	24	2100	192	4520	4300	Oct-2017	6453
175	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8170	104	4	26	2100	208	4750	4520	Oct-2017	6453
176	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8176	112	4	28	2100	224	5040	4790	Jul-2017	6361
177	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8158	48	4	12	3000	96	3100	2910	Oct-2017	6453
178	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8156	16	4	4	3600	32	1150	1080	Oct-2017	6453
179	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8153	128	8	16	2000	256	5670	5390	Oct-2017	6453
180	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8164	208	8	26	2000	416	9090	8690	Oct-2017	6453
181	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8164	104	4	26	2000	208	4700	4520	Sep-2017	6422
182	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8160	192	8	24	2100	384	8900	8490	Oct-2017	6453
183	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8160M	192	8	24	2100	384	8930	8520	Oct-2017	6453
184	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8160M	96	4	24	2100	192	4570	4370	Sep-2017	6422
185	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8160T	192	8	24	2100	384	8660	8540	Oct-2017	6453
186	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8170	208	8	26	2100	416	9380	8960	Oct-2017	6453
187	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8170M	208	8	26	2100	416	9430	9010	Oct-2017	6453
188	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8176	224	8	28	2100	448	10100	9640	Oct-2017	6453
189	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8180	112	4	28	2500	224	5600	5370	Jul-2017	6361
190	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8180	224	8	28	2500	448	11000	10600	Jul-2017	6361
191	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8180M	112	4	28	2500	224	5560	5340	Sep-2017	6422
192	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8168	192	8	24	2700	384	10100	9730	Oct-2017	6453
193	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8158	96	8	12	3000	192	6100	5800	Oct-2017	6453
194	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8158	48	4	12	3000	96	3110	2940	Sep-2017	6422
195	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8156	32	8	4	3600	64	2290	2160	Oct-2017	6453
196	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8156	16	4	4	3600	32	1150	1080	Sep-2017	6422
197	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8153	32	2	16	2000	64	1400	1340	Sep-2017	6422
198	CINT2006rate	Lenovo Global Technology	Intel Xeon Platinum 8156	8	2	4	3600	16	591	556	Oct-2017	6453
199	CINT2006rate	Nokia	AirFrame AR-D521U-A	56	2	28	2500	112	2650	2540	Jul-2017	6361
200	CINT2006rate	Supermicro	Intel Xeon Platinum 8180	56	2	28	2500	112	2820	2710	Aug-2017	6391
201	CINT2006rate	Supermicro	Intel Xeon Platinum 8180	112	4	28	2500	224	0	5260	Aug-2017	6391
